player,batting_avg,batting_strike_rate,bowling_economy,bowling_avg,bowling_strike_rate
Rohit Sharma,29.58,130.25,0,0,0
Ishan Kishan,30.27,142.77,0,0,0
Surya Kumar Yadav,43.21,181.14,0,0,0
Tilak Varma,42.88,164.11,7,0,0
Hardik Pandya,31.45,136.76,9.12,76,50
Tim David,25.67,158.22,0,0,0
Mohammad Nabi,11.33,170,43,10.75,24
Gerald Coetzee,8.33,120.62,8.08,19.05,14.1
Piyush Chawla,12.5,113.64,8.11,22.5,16.64
Dilshan Mahushanka,4.2,52.5,9.18,29.83,19.4
Devon Conway,51.69,139.71,0,0,0
Ruturaj Gaikwad,42.14,147.5,0,0,0
Daryl Mitchell,31.48,135.29,9.2,23.65,15.4
Ajinkya Rahane,32.6,172.49,0,0,0
Rachin Ravindra,15.12,121.48,7.43,27.02,21.8
Shivam Dube,38,158.33,0,0,0
MS Dhoni,26,182.46,0,0,0
Ravindra Jadeja,23.75,142.86,7.56,21.56,17.1
Shardul Thakur,14.13,161.43,10.48,31.43,18
Deepak Chahar,0,50,8.74,22.85,15.69
Matheesha Pathiraana,0,0,7.96,19.53,14.63
Jasprit Bumrah,0,0,7.18,25.53,18.33
Shubman Gill,37.7,134.07,0,0,0
Wriddhiman Saha,24.98,128.05,0,0,0
Sai Sudharshan,46.09,137.03,0,0,0
Vijay Shankar,26.46,131.13,8.67,38.22,26.44
David Miller,41.54,139.92,12,0,0
Azmatullah Omarzai,13.09,113.83,8.4,29.88,21.3
Shahrukh Khan,20.29,134.81,0,0,0
Rashid Khan,13.84,166.54,6.67,20.76,18.68
Mohammed Shami,5.69,93.67,8.44,26.87,19.1
Umesh Yadav,9.8,105.38,8.38,30.04,21.5
Faf duplessis,36.9,134.14,16,0,0
Virat Kohli,37.25,130.02,8.8,92,62.75
Rajat Patidar,40.4,144.29,0,0,0
Glenn Maxwell,26.4,157.62,8.31,37.88,27.35
Cameron Green,50.22,160.28,9.5,60.17,38
Dinesh Karthik,25.81,132.71,0,0,0
Mahipal Lomror,19.14,131.8,7.79,109,84
Mohhamed siraj,12.13,87.39,8.54,29,26.83
Karan Sharma,14.5,115.58,8.14,26.57,19.58
Akash Deep,8.5,170,11.08,44,23.83
KL Rahul,46.69,134.42,0,0,0
Quinton De Kock,32.3,134.21,0,0,0
Devdutt Padikkal,27.67,125.39,0,0,0
Nicolas Pooran,27.02,156.79,0,0,0
Krunal Pandya,21.94,133.39,7.33,33.59,27.49
Marcus Stoinis,23.77,140.6,7.58,29.44,18.44
Deepak Hooda,18.33,128.65,8.6,50.9,35.5
Shivam Mavi,5.67,91.07,8.71,31.4,21.63
Mark Wood,6,150,8.95,16.27,10.9
Ravi Bishnoi,5.6,63.64,7.5,27.26,21.57
Mohsin Khan,11.5,100,7,15.18,17.88
Rishab Pant,34.61,147.47,0,0,0
Prithvi  Shaw,23.86,145.75,0,0,0
David Warner,41.54,139.92,12,0,0
Mitchell Marsh,20.17,125.26,8.11,19.22,14.22
Harry Brook,21,23.38,0,0,0
Axar Patel,20.55,130.81,7.24,30.54,25.31
Lalit Yadav,21.07,106.12,8.2,36.9,27
Kuldeep Yadav,15.11,77.71,8.08,28.39,20.56
Mukesh Kumar,0,77.98,10.52,46.57,26.57
Anrich Nortej,11.25,109.76,8.33,24.15,17.4
Khaleel Ahmed,0.25,14.29,8.62,24.6,17.12
Noor Ahmad,4,88.89,7.82,22,17.69
Alzarri Joseph,27,84.83,19,28.28,18.8
Yashasvi Jaiswal,32.32,149.5,0,0,0
Jos Buttler,37.6,148.21,0,0,0
Sanju Samson,29.85,137.56,0,0,0
Riyan Parag,16.92,125.34,10.7,70,39
Shimron Hetmyer,31.56,151.47,0,0,0
Dhruv Jurel,24.57,172,0,0,0
Ravichandran Ashwin,13.22,118.8,7,28.67,24.53
Sandeep Sharma,9,78.26,7.86,27.4,20.92
Avesh Khan,31,155,8.64,26.33,18.29
Trent Boult,11.5,111,8.26,26.19,19.02
Yuzvendra Chahal,5.21,43.02,7.67,21.7,16.97
Phil Salt,30.22,173,0,0,0
Venkatesh Iyer,27.51,130.31,9.2,38.33,25
Shreyas Iyer,31.19,125.27,0,0,0
Nitish Rana,28.6,134.94,8.4,25.2,18
Rinku Singh,35.62,142.48,0,0,0
Ramandeep Singh,26.67,140.35,9,9,6
Andre Russell,29.82,175.55,9,24.24,15.64
Sunil Narine,13,159,6.72,25.74,22.99
Mitchell Starc,14.57,100,7.41,21.94,17.76
Harshit Rana,1,66,8.8,25.67,17.33
Varun Chakaravarthy,6.25,54.35,7.57,26.27,20.83
Mayank Agarwal,23.06,133.86,0,0,0
Rahul Tripathi,27.16,138.48,0,0,0
Aiden Markram,31.72,131.51,8.64,78.5,54.5
Heinrich Klaasen,38.47,170.21,0,0,0
Abdul Samad,19.52,137.58,12,56,27
Shahbaz Ahmed,16.85,120.79,9.22,41.5,27
Marco Jansen,8.17,90.74,9.21,32.95,21.47
Pat Cummins,18.95,151.6,8.53,30.2,21.24
Bhuvaneshwar Kumar,8.5,95,7,26.16,21.13
Mayank Markande,16,114.29,8.32,27,19
T Natarajan,3,60,8.7,30.12,20.65
Shikhar Dhawan,35.31,127.21,11.63,23.25,12
Jonny Bairstow,35.14,143.17,0,0,0
Sam Curran,26,142.32,9,35,22
Liam Livingstone,30.93,166.22,9.97,38.63,23.25
Jitesh Sharma,25.09,157.71,0,0,0
Sikandar Raza,27.8,141.84,9.92,39.67,24
Harpreet Brar,17.78,138,7.75,31.89,24.68
Harshal Patel,9.83,128.23,8.63,24.06,16.73
Kagiso Rabada,10.94,103.91,8.43,20.88,14.86
Rahul Chahar,7.2,99.08,7.57,28.71,22.7
Arshdeep Singh,6.25,67,8.7,26.69,18.41
